name,has_nickname,is_nickname,popularity_freq
janie,False,True,7.57
ted,True,True,7.54
kelli,False,True,7.52
lila,False,True,7.49
shelley,False,True,7.43
shaun,True,True,7.35
belinda,True,False,7.3
josie,False,True,7.29
morris,True,False,7.14
silas,True,False,7.09
alberta,True,False,7.08
ramona,True,False,7.07
kristy,True,True,7.07
flora,True,True,7.07
clifton,True,False,7.06
della,True,True,7.04
august,True,True,7.02
verna,False,True,6.96
kent,True,False,6.94
inez,True,True,6.92
stuart,True,False,6.91
callie,False,True,6.91
malcolm,True,False,6.91
simon,True,False,6.89
adrienne,True,False,6.86
eloise,True,True,6.85
eliza,True,True,6.84
donnie,False,True,6.8
luther,True,False,6.73
dominick,True,False,6.7
pat,False,True,6.69
noel,False,True,6.66
carly,False,True,6.64
jonathon,True,True,6.57
olive,True,False,6.57
lilly,True,True,6.55
angie,False,True,6.54
abel,True,False,6.46
dave,False,True,6.44
celeste,True,False,6.4
cassidy,True,False,6.4
nichole,False,True,6.39
myra,False,True,6.35
kristopher,True,False,6.34
malachi,True,False,6.33
patty,True,True,6.27
bennie,False,True,6.26
delilah,True,True,6.25
rickey,False,True,6.23
abby,False,True,6.17
otis,True,False,6.15
donovan,True,False,6.13
joey,False,True,6.1
jasper,True,True,6.08
sheri,False,True,6.06
kari,False,True,6.05
valentina,True,False,5.98
roxanne,True,False,5.94
loren,False,True,5.92
tabitha,True,True,5.92
earnest,True,False,5.91
ollie,True,True,5.9
hubert,True,False,5.77
kaitlin,True,False,5.74
wilbur,True,True,5.72
lucia,True,False,5.64
archie,False,True,5.64
celia,False,True,5.64
laverne,True,False,5.61
estelle,True,False,5.6
allie,False,True,5.58
muriel,True,False,5.56
anastasia,True,False,5.53
alec,False,True,5.53
tessa,True,True,5.49
geoffrey,True,False,5.45
jude,False,True,5.45
horace,True,False,5.43
emanuel,True,True,5.43
johanna,True,False,5.41
vicky,False,True,5.39
gretchen,True,False,5.38
rudolph,True,False,5.36
allyson,True,False,5.36
nadine,True,False,5.33
willis,True,False,5.31
leilani,True,False,5.27
caitlyn,True,False,5.26
traci,False,True,5.24
kelley,True,False,5.24
kenny,True,True,5.23
edmund,True,False,5.19
bryant,False,True,5.18
rosemarie,False,True,5.13
henrietta,True,False,5.13
hayley,True,True,5.13
kellie,False,True,5.11
rudy,False,True,5.1
nick,False,True,5.05
may,True,True,4.99
corinne,True,False,4.96
randolph,True,False,4.95
nettie,False,True,4.95
salvador,True,False,4.94
orlando,True,True,4.94
carlton,True,False,4.91
betsy,False,True,4.89
benny,False,True,4.88
wilson,True,False,4.86
laurel,True,False,4.86
mollie,False,True,4.8
lottie,False,True,4.79
garry,False,True,4.78
roderick,True,False,4.74
elisa,True,False,4.71
delbert,True,True,4.7
cassie,False,True,4.68
serena,True,False,4.65
will,True,True,4.64
mercedes,True,False,4.64
ginger,False,True,4.62
winifred,True,False,4.59
addie,False,True,4.59
mona,False,True,4.58
kasey,True,False,4.57
alonzo,True,False,4.55
sammy,False,True,4.5
ora,False,True,4.49
kingston,True,False,4.48
patti,False,True,4.48
effie,False,True,4.44
irving,True,True,4.44
ernestine,True,True,4.42
teri,False,True,4.42
robbie,False,True,4.38
sylvester,True,False,4.38
mckenna,True,False,4.37
ali,False,True,4.37
pete,False,True,4.36
etta,False,True,4.3
toby,False,True,4.29
saul,False,True,4.28
junior,True,False,4.28
millie,False,True,4.28
kameron,True,False,4.27
moses,True,True,4.27
mindy,False,True,4.26
mandy,True,True,4.26
freda,True,True,4.25
daphne,True,False,4.24
estella,True,False,4.24
mack,True,True,4.22
cedric,True,False,4.22
adele,True,True,4.2
jalen,True,False,4.18
phoebe,True,True,4.18
nikki,False,True,4.1
essie,False,True,4.08
margarita,True,False,4.03
trisha,False,True,4.03
clarissa,True,True,4.03
tricia,False,True,4.02
laurence,True,True,4.01
irvin,True,False,3.99
helena,True,False,3.96
lizzie,True,True,3.95
hallie,False,True,3.94
stacie,True,True,3.93
rena,False,True,3.92
woodrow,True,False,3.91
lesley,True,False,3.91
iva,True,False,3.88
conrad,True,False,3.85
lucinda,True,True,3.83
kimberley,True,True,3.83
tori,False,True,3.82
lou,True,True,3.8
tami,False,True,3.8
kerri,False,True,3.74
aileen,True,True,3.73
solomon,True,False,3.73
delia,True,True,3.72
sheldon,True,False,3.71
king,False,True,3.71
cornelius,True,False,3.7
antonia,True,False,3.67
gregg,False,True,3.66
lenora,True,True,3.65
matilda,True,False,3.64
ron,True,True,3.64
francine,True,True,3.64
marty,False,True,3.62
amos,True,True,3.62
jeannie,False,True,3.62
fay,False,True,3.61
cheri,False,True,3.61
tasha,True,True,3.56
tammie,True,True,3.55
reba,True,True,3.55
charity,True,False,3.55
theo,True,True,3.53
teddy,False,True,3.5
rhett,False,True,3.5
evangeline,True,False,3.48
anderson,True,False,3.46
terence,True,True,3.44
dorothea,True,True,3.43
judah,True,False,3.43
bert,True,True,3.42
clare,True,True,3.42
lea,False,True,3.41
mickey,False,True,3.41
ina,False,True,3.41
adelaide,True,True,3.39
elbert,True,True,3.36
lionel,True,False,3.34
kendrick,True,True,3.34
fiona,False,True,3.33
helene,True,False,3.33
pam,False,True,3.31
emil,True,False,3.31
ken,False,True,3.3
christa,True,False,3.29
louie,False,True,3.28
tracie,False,True,3.28
norah,False,True,3.28
savanna,False,True,3.28
percy,False,True,3.27
trina,False,True,3.26
